Wall time,Step,Value
1721011591.1219223,100000,-5.450338840484619
1721011687.3213518,200000,-0.5489198565483093
1721011785.415267,300000,-0.5259084105491638
1721011884.9023132,400000,-0.5076231360435486
1721011983.842395,500000,-0.4941163957118988
1721012084.0553672,600000,-0.4883010685443878
1721012184.3150377,700000,-0.4794895052909851
1721012294.5575197,800000,-0.47346022725105286
1721012410.327322,900000,-0.46820005774497986
1721012513.8043253,1000000,-0.465309202671051
1721012613.8665032,1100000,-0.4613368809223175
1721012713.8451219,1200000,-0.45879238843917847
1721012814.6827624,1300000,-0.45781153440475464
1721012912.6684759,1400000,-0.45736151933670044
1721013011.828599,1500000,-0.45677584409713745
1721013111.3813922,1600000,-0.45658981800079346
1721013212.5528429,1700000,-0.456154465675354
1721013312.7660322,1800000,-0.45572429895401
1721013413.155448,1900000,-0.4553718864917755
1721013513.5728178,2000000,-0.455201655626297
1721013614.1378117,2100000,-0.4252971112728119
1721013714.3688622,2200000,-0.42404502630233765
1721013814.70847,2300000,-0.42278626561164856
1721013916.1771312,2400000,-0.42209765315055847
1721014017.3467011,2500000,-0.42153799533843994
1721014118.6270442,2600000,-0.4208589792251587
1721014220.9870918,2700000,-0.42011547088623047
1721014320.6772485,2800000,-0.4194454848766327
1721014422.3568692,2900000,-0.4183856248855591
1721014522.404392,3000000,-0.4173751473426819
1721014621.541401,3100000,-0.41596564650535583
1721014721.5753365,3200000,-0.41411107778549194
1721014822.9247687,3300000,-0.4114261865615845
1721014922.9018548,3400000,-0.4042274057865143
1721015023.7918959,3500000,-0.3963966369628906
1721015125.68654,3600000,-0.383747935295105
1721015225.7378118,3700000,-0.3637307584285736
1721015323.5185163,3800000,-0.3416730761528015
1721015424.2854989,3900000,-0.31690889596939087
1721015523.6822743,4000000,-0.29278913140296936
1721015624.1892118,4100000,-0.2711515724658966
1721015725.0107439,4200000,-0.24455340206623077
1721015802.1949406,4300000,-0.21824485063552856
1721015902.5420294,4400000,-0.1892673522233963
1721016003.0369453,4500000,-0.13210371136665344
1721016102.3918364,4600000,-0.05915551260113716
1721016202.0549426,4700000,0.052389342337846756
1721016299.9075556,4800000,0.17172932624816895
1721016398.131814,4900000,0.27955710887908936
1721016497.539952,5000000,0.4541323184967041
