Wall time,Step,Value
1720987834.163292,100000,-6.747581958770752
1720987933.5390992,200000,-0.540436327457428
1720988032.3452327,300000,-0.49217361211776733
1720988127.6219761,400000,-0.4500158727169037
1720988224.5041337,500000,-0.38719281554222107
1720988322.9843802,600000,-0.3337734043598175
1720988420.2778823,700000,-0.33982545137405396
1720988516.4526021,800000,-0.32163023948669434
1720988612.2645533,900000,-0.31742534041404724
1720988708.6215732,1000000,-0.24728338420391083
1720988801.999505,1100000,-0.21947453916072845
1720988899.0455978,1200000,-0.1968100517988205
1720988995.6798987,1300000,-0.16464264690876007
1720989091.467915,1400000,-0.17806944251060486
1720989187.6889186,1500000,-0.1396864503622055
1720989283.8955667,1600000,-0.0491536483168602
1720989379.7529144,1700000,-0.024707933887839317
1720989485.1886582,1800000,-0.07283314317464828
1720989592.254871,1900000,-0.08528163284063339
1720989694.494876,2000000,-0.06498690694570541
1720989791.6631885,2100000,1.142725944519043
1720989888.7137225,2200000,1.0481823682785034
1720989986.459844,2300000,0.9397499561309814
1720990084.9204113,2400000,1.0068342685699463
1720990183.4395227,2500000,1.1928682327270508
1720990282.1437051,2600000,1.160256266593933
1720990381.789008,2700000,1.1968507766723633
1720990480.1934383,2800000,1.239549160003662
1720990582.6399286,2900000,1.3253885507583618
1720990680.8604703,3000000,1.4001880884170532
1720990782.713428,3100000,1.2507855892181396
1720990881.0081244,3200000,1.3864015340805054
1720990980.4537032,3300000,1.3611351251602173
1720991079.6381104,3400000,1.383359432220459
1720991177.4017715,3500000,1.4342641830444336
1720991279.9194252,3600000,1.513491153717041
1720991391.926182,3700000,1.5219826698303223
1720991495.793548,3800000,1.548828125
1720991573.7364786,3900000,1.5336018800735474
1720991672.4260118,4000000,1.5258996486663818
1720991769.8299565,4100000,1.5257436037063599
1720991869.7671409,4200000,1.4786795377731323
1720991966.605347,4300000,1.4945297241210938
1720992063.328143,4400000,1.481788158416748
1720992163.76977,4500000,1.4835834503173828
1720992263.4106665,4600000,1.5032362937927246
1720992360.549519,4700000,1.5180844068527222
1720992459.0045319,4800000,1.4913945198059082
1720992557.2640839,4900000,1.515676498413086
1720992654.7079077,5000000,1.475370168685913
