Wall time,Step,Value
1720915858.8690162,100000,-7.65613317489624
1720915958.00549,200000,-0.5424652695655823
1720916057.4916646,300000,-0.49718910455703735
1720916155.3701353,400000,-0.4931894838809967
1720916266.1378012,500000,-0.4877033829689026
1720916379.278579,600000,-0.46806517243385315
1720916479.5320854,700000,-0.396012544631958
1720916579.294696,800000,-0.2424284666776657
1720916679.366789,900000,-0.04687237739562988
1720916779.2572634,1000000,0.07525167614221573
1720916875.9609907,1100000,0.1563878208398819
1720916987.9709866,1200000,0.2043405920267105
1720917098.277969,1300000,0.24635782837867737
1720917196.7021413,1400000,0.28915685415267944
1720917294.772191,1500000,0.4228312075138092
1720917391.898144,1600000,0.5876233577728271
1720917488.7280672,1700000,0.7015498280525208
1720917587.8902378,1800000,0.8915035128593445
1720917682.9516437,1900000,1.093252182006836
1720917784.422422,2000000,1.5262198448181152
1720917890.7105715,2100000,5.783909797668457
1720917986.6598227,2200000,7.11098575592041
1720918077.8097074,2300000,8.09925365447998
1720918168.76236,2400000,8.637845993041992
1720918263.8152034,2500000,8.7913236618042
1720918359.3380013,2600000,9.225016593933105
1720918459.073064,2700000,10.025093078613281
1720918566.902772,2800000,10.646225929260254
1720918661.7501402,2900000,11.317633628845215
1720918767.3282518,3000000,12.371031761169434
1720918866.2384062,3100000,12.41052532196045
1720918958.6375265,3200000,13.005126953125
1720919051.9706507,3300000,13.734085083007812
1720919160.2151482,3400000,13.896032333374023
1720919266.210557,3500000,13.984206199645996
1720919355.32602,3600000,14.648486137390137
1720919381.733953,3700000,15.514861106872559
1720919450.5624306,3800000,15.471003532409668
1720919517.1611316,3900000,16.21058464050293
1720919584.8630254,4000000,15.720895767211914
1720919657.0395887,4100000,15.71866512298584
1720919746.5036585,4200000,16.10417938232422
1720919830.288426,4300000,16.47844696044922
1720919918.5090666,4400000,16.273481369018555
1720920009.560582,4500000,16.084712982177734
1720920099.7930214,4600000,16.86116600036621
1720920192.9986598,4700000,16.236553192138672
1720920280.2092173,4800000,16.715646743774414
1720920373.002548,4900000,16.5476131439209
1720920452.9466705,5000000,15.823691368103027
