Wall time,Step,Value
1720901833.0269227,100000,-7.077536106109619
1720901930.6331427,200000,-0.5968359708786011
1720902029.17404,300000,-0.5972997546195984
1720902123.445325,400000,-0.6245439648628235
1720902218.1204145,500000,-0.5875667929649353
1720902285.2059183,600000,-0.5769553780555725
1720902353.0702155,700000,-0.6028494238853455
1720902420.4034057,800000,-0.664824366569519
1720902489.4981718,900000,-0.7990887761116028
1720902582.3257356,1000000,-1.022627353668213
1720902681.2969637,1100000,-1.2582337856292725
1720902774.6645303,1200000,-1.1469264030456543
1720902872.6003938,1300000,-0.8263779282569885
1720902966.6841578,1400000,-0.665057897567749
1720903063.7718146,1500000,-0.4990377724170685
1720903161.7047813,1600000,-0.33660101890563965
1720903257.1545787,1700000,-0.20617049932479858
1720903352.5037086,1800000,-0.11368762701749802
1720903448.030926,1900000,-0.03255467116832733
1720903545.6228845,2000000,0.020255954936146736
1720903642.5275369,2100000,1.0623420476913452
1720903738.3354485,2200000,1.0490320920944214
1720903835.994976,2300000,1.3489805459976196
1720903946.3422093,2400000,1.6702117919921875
1720904047.950225,2500000,1.982903003692627
1720904144.7443209,2600000,2.2646007537841797
1720904239.5812387,2700000,2.80220890045166
1720904339.6836069,2800000,3.7638378143310547
1720904442.7014213,2900000,4.6211748123168945
1720904535.7597902,3000000,5.746520042419434
1720904631.0879204,3100000,6.59475564956665
1720904724.1059182,3200000,7.196420192718506
1720904820.1801517,3300000,7.844246864318848
1720904912.1458783,3400000,8.364444732666016
1720905004.5060759,3500000,9.47951889038086
1720905099.6896393,3600000,11.234535217285156
1720905173.6286807,3700000,11.490650177001953
1720905276.198464,3800000,12.14072322845459
1720905373.0207343,3900000,12.799551010131836
1720905468.0115914,4000000,14.130194664001465
1720905568.4563127,4100000,14.06903076171875
1720905673.031731,4200000,14.588539123535156
1720905769.736244,4300000,14.880590438842773
1720905874.3694167,4400000,15.30492115020752
1720905980.0461845,4500000,15.414926528930664
1720906080.3485422,4600000,15.7116060256958
1720906185.679816,4700000,15.706145286560059
1720906281.6520374,4800000,15.865396499633789
1720906374.7542148,4900000,15.761638641357422
1720906459.740308,5000000,14.841085433959961
