Wall time,Step,Value
1719429278.590934,50000,13.93280029296875
1719429305.9385524,100000,16.603281021118164
1719429353.746325,150000,15.366013526916504
1719429382.2941298,200000,15.35978889465332
1719429432.3649554,250000,15.10861873626709
1719429459.9689965,300000,15.654167175292969
1719429508.1918538,350000,15.436161041259766
1719429537.1238983,400000,16.103775024414062
1719429586.0996108,450000,15.505330085754395
1719429615.4794352,500000,14.295074462890625
1719429664.220596,550000,15.382421493530273
1719429692.3547401,600000,15.67261028289795
1719429742.2279294,650000,16.206485748291016
1719429770.205496,700000,15.584919929504395
1719429820.4452288,750000,16.48238182067871
1719429848.5753226,800000,16.763986587524414
1719429897.010073,850000,16.219350814819336
1719429924.737745,900000,16.604015350341797
1719429973.6968203,950000,15.9246187210083
1719430002.550821,1000000,16.079553604125977
1719430051.4671721,1050000,12.676447868347168
1719430078.4875712,1100000,14.832401275634766
1719430127.6961217,1150000,15.907965660095215
1719430156.2872367,1200000,16.120073318481445
1719430206.6707428,1250000,15.95648193359375
1719430233.9797146,1300000,15.235148429870605
1719430284.8379698,1350000,16.046510696411133
1719430311.4815488,1400000,14.019378662109375
1719430364.0383275,1450000,14.326034545898438
1719430387.4097106,1500000,14.986478805541992
1719430441.2550335,1550000,13.989236831665039
1719430464.5377953,1600000,16.241981506347656
1719430520.137106,1650000,16.242610931396484
1719430541.4064999,1700000,15.709955215454102
1719430599.346883,1750000,16.659271240234375
1719430619.727225,1800000,16.36992073059082
1719430679.459994,1850000,16.83191680908203
1719430699.257897,1900000,13.871330261230469
1719430726.1778047,1950000,13.135141372680664
1719430776.1218636,2000000,13.342506408691406
1719430804.4195695,2050000,14.430234909057617
1719430853.4613955,2100000,16.53099250793457
1719430882.2569845,2150000,14.856159210205078
1719430932.48102,2200000,15.970266342163086
1719430960.3514137,2250000,16.435577392578125
1719431008.7631202,2300000,16.20217514038086
1719431036.5204241,2350000,16.434112548828125
1719431084.4369943,2400000,16.46173667907715
1719431114.8119946,2450000,16.728113174438477
1719431163.6077378,2500000,16.728946685791016
