Wall time,Step,Value
1720982976.9454336,100000,-6.198692321777344
1720983077.4748032,200000,-0.3106960356235504
1720983178.3872828,300000,0.10715317726135254
1720983272.4775238,400000,0.2212405651807785
1720983370.9270358,500000,-0.031102467328310013
1720983481.5301242,600000,-1.0347410440444946
1720983584.5805166,700000,-2.984375
1720983685.2525556,800000,-2.170842170715332
1720983787.454304,900000,-2.594590187072754
1720983887.525889,1000000,-0.10908590257167816
1720983994.0543234,1100000,0.7397463917732239
1720984091.6326518,1200000,0.9300458431243896
1720984189.1538627,1300000,1.0990912914276123
1720984287.2907922,1400000,1.2149224281311035
1720984382.6392303,1500000,1.6408820152282715
1720984480.8776956,1600000,2.1178207397460938
1720984572.7760339,1700000,2.086737632751465
1720984667.1076982,1800000,2.267209053039551
1720984765.3327606,1900000,2.5482864379882812
1720984860.3893528,2000000,2.692228317260742
1720984952.0011213,2100000,6.754067420959473
1720985045.7919295,2200000,6.71249532699585
1720985140.3659039,2300000,7.701979637145996
1720985233.9273605,2400000,8.030868530273438
1720985326.3633406,2500000,8.117707252502441
1720985421.9382753,2600000,8.027274131774902
1720985516.7396622,2700000,8.150652885437012
1720985610.21904,2800000,8.303812980651855
1720985705.3446348,2900000,8.382732391357422
1720985800.8927596,3000000,8.269017219543457
1720985895.8105571,3100000,8.408965110778809
1720985994.4473226,3200000,8.434246063232422
1720986089.3662562,3300000,8.394586563110352
1720986185.044124,3400000,8.110791206359863
1720986286.3770714,3500000,8.364106178283691
1720986391.623136,3600000,8.433122634887695
1720986454.124127,3700000,8.442766189575195
1720986554.9422438,3800000,8.54664134979248
1720986653.999879,3900000,8.560779571533203
1720986749.304621,4000000,8.727923393249512
1720986853.0023546,4100000,8.804905891418457
1720986955.2582626,4200000,9.094376564025879
1720987054.6473246,4300000,9.525389671325684
1720987145.11679,4400000,9.901506423950195
1720987244.9058077,4500000,9.9029541015625
1720987351.9501953,4600000,9.762330055236816
1720987444.4550002,4700000,9.977293014526367
1720987542.0766938,4800000,9.951577186584473
1720987644.2281828,4900000,9.842171669006348
1720987739.736351,5000000,9.794676780700684
