Wall time,Step,Value
1720968781.006819,100000,-6.369114875793457
1720968879.8494601,200000,-0.4115361273288727
1720968981.3358958,300000,-0.07857760787010193
1720969081.0338984,400000,0.058608587831258774
1720969180.1303828,500000,0.13246117532253265
1720969279.061313,600000,0.24079860746860504
1720969375.528209,700000,0.41912713646888733
1720969470.917829,800000,0.5086969137191772
1720969568.203553,900000,0.702986478805542
1720969664.0504694,1000000,0.8952164649963379
1720969761.8924928,1100000,1.017823576927185
1720969852.6995876,1200000,1.4623152017593384
1720969947.5271437,1300000,2.0247507095336914
1720970045.180747,1400000,2.492250919342041
1720970149.8311148,1500000,3.19287371635437
1720970248.9858854,1600000,4.364294052124023
1720970341.5739748,1700000,4.741257190704346
1720970432.2160366,1800000,5.938234329223633
1720970533.1646664,1900000,5.183062553405762
1720970628.0915718,2000000,5.06381893157959
1720970716.5714228,2100000,11.228987693786621
1720970810.7050977,2200000,9.700279235839844
1720970902.2647703,2300000,13.681690216064453
1720971001.3343804,2400000,13.407292366027832
1720971095.7275846,2500000,14.438263893127441
1720971186.8153312,2600000,14.911979675292969
1720971279.9258554,2700000,15.208589553833008
1720971375.7921913,2800000,15.188326835632324
1720971472.7408426,2900000,15.860814094543457
1720971567.11722,3000000,15.934154510498047
1720971665.021541,3100000,15.520275115966797
1720971765.0627005,3200000,16.323637008666992
1720971865.1009924,3300000,16.03575897216797
1720971941.0116832,3400000,16.18758201599121
1720972040.5900662,3500000,16.233203887939453
1720972130.0297492,3600000,16.136638641357422
1720972221.4282541,3700000,16.495838165283203
1720972311.0733259,3800000,16.043781280517578
1720972402.1458423,3900000,16.082542419433594
1720972501.3804994,4000000,16.488327026367188
1720972602.4415622,4100000,16.20915412902832
1720972690.6161392,4200000,16.6684627532959
1720972783.1424344,4300000,16.50486946105957
1720972872.4769523,4400000,16.443391799926758
1720972963.820159,4500000,16.276708602905273
1720973053.6772616,4600000,16.83460235595703
1720973138.7690818,4700000,16.426471710205078
1720973229.077422,4800000,16.374759674072266
1720973317.1375735,4900000,16.449827194213867
1720973404.4298625,5000000,14.803751945495605
