Wall time,Step,Value
1720705956.9200065,100000,166.82550048828125
1720706049.0033627,200000,282.8951721191406
1720706138.9295452,300000,364.996337890625
1720706227.2121642,400000,370.1858825683594
1720706332.2122402,500000,445.81695556640625
1720706439.5617328,600000,565.55615234375
1720706533.7422137,700000,603.0060424804688
1720706621.401403,800000,678.0203857421875
1720706707.4426153,900000,743.0298461914062
1720706791.6903963,1000000,799.5280151367188
1720706889.7267299,1100000,889.9911499023438
1720706984.0401075,1200000,996.0800170898438
1720707086.0281155,1300000,1031.8763427734375
1720707182.6749935,1400000,1099.19775390625
1720707276.0420554,1500000,1329.4000244140625
1720707374.4533982,1600000,1555.875
1720707472.1691027,1700000,1654.42626953125
1720707563.031196,1800000,1661.75
1720707653.4832108,1900000,1741.9473876953125
1720707749.8018076,2000000,1707.5423583984375
1720707842.4215121,2100000,1853.5283203125
1720707936.2544284,2200000,1920.0577392578125
1720708037.7526007,2300000,1960.269287109375
1720708135.1237082,2400000,1952.0
1720708229.0046597,2500000,2051.291748046875
1720708325.99896,2600000,2027.6734619140625
1720708422.730852,2700000,2054.5
1720708518.5940783,2800000,2086.179931640625
1720708612.9897203,2900000,2030.739990234375
1720708715.0321412,3000000,2061.580078125
1720708814.0350533,3100000,2014.62744140625
1720708914.2553997,3200000,2022.1568603515625
1720709014.3543181,3300000,1965.351806640625
1720709078.8239906,3400000,1976.0999755859375
1720709175.625927,3500000,1982.5882568359375
1720709271.8044662,3600000,1983.3599853515625
1720709367.288655,3700000,1976.0196533203125
1720709457.1600068,3800000,1945.9803466796875
1720709548.6500027,3900000,1964.0196533203125
1720709640.8264432,4000000,1961.6666259765625
1720709736.331554,4100000,1957.11767578125
1720709833.522704,4200000,1929.1922607421875
1720709925.2429812,4300000,1927.230712890625
1720710015.4723914,4400000,1908.2884521484375
1720710110.9100475,4500000,1936.980712890625
1720710209.8564658,4600000,1889.9810791015625
1720710305.7994716,4700000,1912.7884521484375
1720710403.157659,4800000,1907.75
1720710496.9550538,4900000,1923.6922607421875
1720710583.5669534,5000000,1796.4464111328125
1720710684.2431004,5100000,1046.747314453125
1720710782.7722323,5200000,1040.21875
1720710878.3934274,5300000,1037.3228759765625
1720710976.8115602,5400000,1041.7708740234375
1720711060.9017477,5500000,1076.0537109375
1720711147.7810094,5600000,1144.1839599609375
1720711231.0855837,5700000,1225.3414306640625
1720711315.7015915,5800000,1330.626708984375
1720711396.4797246,5900000,1502.223876953125
1720711476.0305285,6000000,1695.6610107421875
1720711559.8058825,6100000,1768.2880859375
1720711648.667904,6200000,1843.5762939453125
1720711745.5723035,6300000,1843.800048828125
1720711842.194348,6400000,1825.3392333984375
1720711936.8629947,6500000,1924.109130859375
1720712001.2210894,6600000,1997.868408203125
1720712088.2435288,6700000,1911.0
1720712178.9700491,6800000,1920.6226806640625
1720712268.8558736,6900000,1907.826904296875
1720712358.6814563,7000000,1477.058837890625
1720712444.7847419,7100000,1432.115966796875
1720712537.645338,7200000,1535.95458984375
1720712624.5237238,7300000,1594.790283203125
1720712707.598838,7400000,1858.0369873046875
1720712799.3184652,7500000,1822.0181884765625
1720712887.749892,7600000,1824.9818115234375
1720712978.678325,7700000,1863.8302001953125
1720713068.1105251,7800000,1877.4444580078125
1720713154.614651,7900000,1855.603759765625
1720713241.79316,8000000,1853.648193359375
1720713332.593186,8100000,1734.413818359375
1720713420.393332,8200000,1831.9090576171875
1720713508.08034,8300000,1935.803955078125
1720713592.2595305,8400000,1931.769287109375
1720713679.5180957,8500000,1843.388916015625
1720713766.6970823,8600000,1879.3148193359375
1720713854.2657056,8700000,1844.890869140625
1720713944.155633,8800000,1612.758056640625
1720714030.2009962,8900000,1665.2698974609375
1720714122.4772177,9000000,1590.9241943359375
1720714215.4018116,9100000,1681.5322265625
1720714306.4444587,9200000,1875.9642333984375
1720714396.1910346,9300000,1830.4444580078125
1720714491.9562478,9400000,1866.71923828125
1720714581.902637,9500000,1878.1455078125
1720714634.0393884,9600000,1913.47216796875
1720714716.0172234,9700000,1839.148193359375
1720714804.9517114,9800000,1816.9818115234375
1720714892.2752934,9900000,1874.629638671875
1720714976.440803,10000000,1854.452880859375
1720715063.6716068,10100000,1842.581787109375
1720715154.403916,10200000,1825.763671875
1720715239.641514,10300000,1728.649169921875
1720715328.4600065,10400000,1790.232177734375
1720715419.4693277,10500000,1831.199951171875
1720715501.9109645,10600000,1853.129638671875
1720715590.0867403,10700000,1879.7547607421875
1720715676.530407,10800000,1772.982177734375
1720715766.3905842,10900000,1743.32763671875
1720715856.9838152,11000000,1883.924560546875
1720715947.7152731,11100000,1778.107177734375
1720716032.1615012,11200000,1797.199951171875
1720716122.81801,11300000,1749.810302734375
1720716210.3598628,11400000,1731.0701904296875
1720716299.496175,11500000,1576.609375
1720716382.3554513,11600000,1838.54541015625
1720716470.89655,11700000,1823.4000244140625
1720716560.2845721,11800000,1666.40673828125
1720716658.5381484,11900000,1798.2203369140625
1720716748.774067,12000000,1828.0526123046875
1720716841.664367,12100000,1747.413818359375
1720716929.5075853,12200000,1688.0167236328125
1720717019.1068192,12300000,1628.265625
1720717109.364808,12400000,1633.138427734375
1720717199.4619305,12500000,1771.3792724609375
1720717289.1897523,12600000,1846.0185546875
1720717379.3306146,12700000,1897.27587890625
1720717425.4951818,12800000,1837.5
1720717513.6497624,12900000,1878.5926513671875
1720717602.4696445,13000000,1799.272705078125
1720717688.5479221,13100000,1754.2982177734375
1720717778.9092221,13200000,1801.5357666015625
1720717862.7797494,13300000,1732.6666259765625
